rank,question
467,"Can you recommend a movie similar to 'Salt' in the Action,Crime,Mystery genre?"
467,What other movies did Phillip Noyce direct besides 'Salt'?
468,What is the genre of the movie 'Enemy'?
468,"Can you recommend a movie similar to 'Enemy' in the Mystery,Thriller genre?"
468,What other movies did Denis Villeneuve direct besides 'Enemy'?
469,What is the genre of the movie 'District 9'?
469,"Can you recommend a movie similar to 'District 9' in the Action,Sci-Fi,Thriller genre?"
469,What other movies did Neill Blomkamp direct besides 'District 9'?
470,What is the genre of the movie 'The Other Guys'?
470,"Can you recommend a movie similar to 'The Other Guys' in the Action,Comedy,Crime genre?"
470,What other movies did Adam McKay direct besides 'The Other Guys'?
471,What is the genre of the movie 'American Gangster'?
471,"Can you recommend a movie similar to 'American Gangster' in the Biography,Crime,Drama genre?"
471,In which other movies did Josh Brolin star besides 'American Gangster'?
472,What is the genre of the movie 'Marie Antoinette'?
472,"Can you recommend a movie similar to 'Marie Antoinette' in the Biography,Drama,History genre?"
472,In which other movies did Judy Davis star besides 'Marie Antoinette'?
473,What is the genre of the movie '2012'?
473,"Can you recommend a movie similar to '2012' in the Action,Adventure,Sci-Fi genre?"
473,What other movies did Roland Emmerich direct besides '2012'?
474,What is the genre of the movie 'Harry Potter and the Half-Blood Prince'?
474,"Can you recommend a movie similar to 'Harry Potter and the Half-Blood Prince' in the Adventure,Family,Fantasy genre?"
474,In which other movies did Michael Gambon star besides 'Harry Potter and the Half-Blood Prince'?
475,What is the genre of the movie 'Argo'?
475,"Can you recommend a movie similar to 'Argo' in the Biography,Drama,History genre?"
475,In which other movies did Bryan Cranston star besides 'Argo'?
476,What is the genre of the movie 'Eddie the Eagle'?
476,"Can you recommend a movie similar to 'Eddie the Eagle' in the Biography,Comedy,Drama genre?"
476,What other movies did Dexter Fletcher direct besides 'Eddie the Eagle'?
477,What is the genre of the movie 'The Lives of Others'?
477,"Can you recommend a movie similar to 'The Lives of Others' in the Drama,Thriller genre?"
477,What other movies did Florian Henckel von Donnersmarck direct besides 'The Lives of Others'?
478,What is the genre of the movie 'Pet'?
478,"Can you recommend a movie similar to 'Pet' in the Horror,Thriller genre?"
478,In which other movies did Jennette McCurdy star besides 'Pet'?
479,What is the genre of the movie 'Paint It Black'?
479,Can you recommend a movie similar to 'Paint It Black' in the Drama genre?
479,What other movies did Amber Tamblyn direct besides 'Paint It Black'?
480,What is the genre of the movie 'Macbeth'?
480,"Can you recommend a movie similar to 'Macbeth' in the Drama,War genre?"
480,What other movies did Justin Kurzel direct besides 'Macbeth'?
481,What is the genre of the movie 'Forgetting Sarah Marshall'?
481,"Can you recommend a movie similar to 'Forgetting Sarah Marshall' in the Comedy,Drama,Romance genre?"
481,What other movies did Nicholas Stoller direct besides 'Forgetting Sarah Marshall'?
482,What is the genre of the movie 'The Giver'?
482,"Can you recommend a movie similar to 'The Giver' in the Drama,Romance,Sci-Fi genre?"
482,What other movies did Phillip Noyce direct besides 'The Giver'?
483,What is the genre of the movie 'Triple 9'?
483,"Can you recommend a movie similar to 'Triple 9' in the Action,Crime,Drama genre?"
483,What other movies did John Hillcoat direct besides 'Triple 9'?
484,What is the genre of the movie 'Perfetti sconosciuti'?
484,"Can you recommend a movie similar to 'Perfetti sconosciuti' in the Comedy,Drama genre?"
484,What other movies did Paolo Genovese direct besides 'Perfetti sconosciuti'?
485,What is the genre of the movie 'Angry Birds'?
485,"Can you recommend a movie similar to 'Angry Birds' in the Animation,Action,Adventure genre?"
485,What other movies did Clay Kaytis direct besides 'Angry Birds'?
486,What is the genre of the movie 'Moonrise Kingdom'?
486,"Can you recommend a movie similar to 'Moonrise Kingdom' in the Adventure,Comedy,Drama genre?"
486,In which other movies did Kara Hayward star besides 'Moonrise Kingdom'?
487,What is the genre of the movie 'Hairspray'?
487,"Can you recommend a movie similar to 'Hairspray' in the Comedy,Drama,Family genre?"
487,What other movies did Adam Shankman direct besides 'Hairspray'?
488,What is the genre of the movie 'Safe Haven'?
488,"Can you recommend a movie similar to 'Safe Haven' in the Drama,Romance,Thriller genre?"
488,In which other movies did David Lyons star besides 'Safe Haven'?
489,What is the genre of the movie 'Focus'?
489,"Can you recommend a movie similar to 'Focus' in the Comedy,Crime,Drama genre?"
489,What other movies did Glenn Ficarra direct besides 'Focus'?
490,What is the genre of the movie 'Ratatouille'?
490,"Can you recommend a movie similar to 'Ratatouille' in the Animation,Comedy,Family genre?"
490,What other movies did Brad Bird direct besides 'Ratatouille'?
491,What is the genre of the movie 'Stake Land'?
491,"Can you recommend a movie similar to 'Stake Land' in the Drama,Horror,Sci-Fi genre?"
491,In which other movies did Connor Paolo star besides 'Stake Land'?
492,What is the genre of the movie 'The Book of Eli'?
492,"Can you recommend a movie similar to 'The Book of Eli' in the Action,Adventure,Drama genre?"
492,What other movies did Albert Hughes direct besides 'The Book of Eli'?
493,What is the genre of the movie 'Cloverfield'?
493,"Can you recommend a movie similar to 'Cloverfield' in the Action,Horror,Sci-Fi genre?"
493,In which other movies did Jessica Lucas star besides 'Cloverfield'?
494,What is the genre of the movie 'Point Break'?
494,"Can you recommend a movie similar to 'Point Break' in the Action,Crime,Sport genre?"
494,In which other movies did Edgar Ramírez star besides 'Point Break'?
495,What is the genre of the movie 'Under the Skin'?
495,"Can you recommend a movie similar to 'Under the Skin' in the Drama,Horror,Sci-Fi genre?"
495,In which other movies did Scarlett Johansson star besides 'Under the Skin'?
496,What is the genre of the movie 'I Am Legend'?
496,"Can you recommend a movie similar to 'I Am Legend' in the Drama,Horror,Sci-Fi genre?"
496,What other movies did Francis Lawrence direct besides 'I Am Legend'?
497,What is the genre of the movie 'Men in Black 3'?
497,"Can you recommend a movie similar to 'Men in Black 3' in the Action,Adventure,Comedy genre?"
497,What other movies did Barry Sonnenfeld direct besides 'Men in Black 3'?
498,What is the genre of the movie 'Super 8'?
498,"Can you recommend a movie similar to 'Super 8' in the Mystery,Sci-Fi,Thriller genre?"
498,What other movies did J.J. Abrams direct besides 'Super 8'?
499,What is the genre of the movie 'Law Abiding Citizen'?
499,"Can you recommend a movie similar to 'Law Abiding Citizen' in the Crime,Drama,Thriller genre?"
499,What other movies did F. Gary Gray direct besides 'Law Abiding Citizen'?
500,What is the genre of the movie 'Up'?
500,"Can you recommend a movie similar to 'Up' in the Animation,Adventure,Comedy genre?"
500,What other movies did Pete Docter direct besides 'Up'?
501,What is the genre of the movie 'Maze Runner: The Scorch Trials'?
501,"Can you recommend a movie similar to 'Maze Runner: The Scorch Trials' in the Action,Sci-Fi,Thriller genre?"
501,In which other movies did Giancarlo Esposito star besides 'Maze Runner: The Scorch Trials'?
502,What is the genre of the movie 'Carol'?
502,"Can you recommend a movie similar to 'Carol' in the Drama,Romance genre?"
502,In which other movies did Cate Blanchett star besides 'Carol'?
503,What is the genre of the movie 'Imperium'?
503,"Can you recommend a movie similar to 'Imperium' in the Crime,Drama,Thriller genre?"
503,In which other movies did Tracy Letts star besides 'Imperium'?
504,What is the genre of the movie 'Youth'?
504,"Can you recommend a movie similar to 'Youth' in the Comedy,Drama,Music genre?"
504,In which other movies did Michael Caine star besides 'Youth'?
505,What is the genre of the movie 'Mr. Nobody'?
505,"Can you recommend a movie similar to 'Mr. Nobody' in the Drama,Fantasy,Romance genre?"
505,In which other movies did Linh Dan Pham star besides 'Mr. Nobody'?
506,What is the genre of the movie 'City of Tiny Lights'?
506,"Can you recommend a movie similar to 'City of Tiny Lights' in the Crime,Drama,Thriller genre?"
506,What other movies did Pete Travis direct besides 'City of Tiny Lights'?
507,What is the genre of the movie 'Savages'?
507,"Can you recommend a movie similar to 'Savages' in the Crime,Drama,Thriller genre?"
507,In which other movies did Benicio Del Toro star besides 'Savages'?
508,What is the genre of the movie '(500) Days of Summer'?
508,"Can you recommend a movie similar to '(500) Days of Summer' in the Comedy,Drama,Romance genre?"
508,In which other movies did Zooey Deschanel star besides '(500) Days of Summer'?
509,What is the genre of the movie 'Movie 43'?
509,"Can you recommend a movie similar to 'Movie 43' in the Comedy,Romance genre?"
509,In which other movies did Liev Schreiber star besides 'Movie 43'?
510,What is the genre of the movie 'Gravity'?
510,"Can you recommend a movie similar to 'Gravity' in the Drama,Sci-Fi,Thriller genre?"
510,In which other movies did Ed Harris star besides 'Gravity'?
511,What is the genre of the movie 'The Boy in the Striped Pyjamas'?
511,"Can you recommend a movie similar to 'The Boy in the Striped Pyjamas' in the Drama,War genre?"
511,What other movies did Mark Herman direct besides 'The Boy in the Striped Pyjamas'?
512,What is the genre of the movie 'Shooter'?
512,"Can you recommend a movie similar to 'Shooter' in the Action,Crime,Drama genre?"
512,What other movies did Antoine Fuqua direct besides 'Shooter'?
513,What is the genre of the movie 'The Happening'?
513,"Can you recommend a movie similar to 'The Happening' in the Sci-Fi,Thriller genre?"
513,What other movies did M. Night Shyamalan direct besides 'The Happening'?
514,What is the genre of the movie 'Bone Tomahawk'?
514,"Can you recommend a movie similar to 'Bone Tomahawk' in the Adventure,Drama,Horror genre?"
514,What other movies did S. Craig Zahler direct besides 'Bone Tomahawk'?
515,What is the genre of the movie 'Magic Mike XXL'?
515,"Can you recommend a movie similar to 'Magic Mike XXL' in the Comedy,Drama,Music genre?"
515,In which other movies did Joe Manganiello star besides 'Magic Mike XXL'?
516,What is the genre of the movie 'Easy A'?
516,"Can you recommend a movie similar to 'Easy A' in the Comedy,Drama,Romance genre?"
516,What other movies did Will Gluck direct besides 'Easy A'?
517,What is the genre of the movie 'Exodus: Gods and Kings'?
517,"Can you recommend a movie similar to 'Exodus: Gods and Kings' in the Action,Adventure,Drama genre?"
517,What other movies did Ridley Scott direct besides 'Exodus: Gods and Kings'?
518,What is the genre of the movie 'Chappie'?
518,"Can you recommend a movie similar to 'Chappie' in the Action,Crime,Drama genre?"
518,In which other movies did Sigourney Weaver star besides 'Chappie'?
519,What is the genre of the movie 'The Hobbit: The Desolation of Smaug'?
519,"Can you recommend a movie similar to 'The Hobbit: The Desolation of Smaug' in the Adventure,Fantasy genre?"
519,In which other movies did Martin Freeman star besides 'The Hobbit: The Desolation of Smaug'?
520,What is the genre of the movie 'Half of a Yellow Sun'?
520,"Can you recommend a movie similar to 'Half of a Yellow Sun' in the Drama,Romance genre?"
520,In which other movies did Chiwetel Ejiofor star besides 'Half of a Yellow Sun'?
521,What is the genre of the movie 'Anthropoid'?
521,"Can you recommend a movie similar to 'Anthropoid' in the Biography,History,Thriller genre?"
521,In which other movies did Cillian Murphy star besides 'Anthropoid'?
522,What is the genre of the movie 'The Counselor'?
522,"Can you recommend a movie similar to 'The Counselor' in the Crime,Drama,Thriller genre?"
522,What other movies did Ridley Scott direct besides 'The Counselor'?
523,What is the genre of the movie 'Viking'?
523,"Can you recommend a movie similar to 'Viking' in the Action,Drama,History genre?"
523,In which other movies did Anton Adasinsky star besides 'Viking'?
524,What is the genre of the movie 'Whiskey Tango Foxtrot'?
524,"Can you recommend a movie similar to 'Whiskey Tango Foxtrot' in the Biography,Comedy,Drama genre?"
524,In which other movies did Martin Freeman star besides 'Whiskey Tango Foxtrot'?
525,What is the genre of the movie 'Trust'?
525,"Can you recommend a movie similar to 'Trust' in the Crime,Drama,Thriller genre?"
525,In which other movies did Catherine Keener star besides 'Trust'?
526,What is the genre of the movie 'Birth of the Dragon'?
526,"Can you recommend a movie similar to 'Birth of the Dragon' in the Action,Biography,Drama genre?"
526,In which other movies did Vanessa Ross star besides 'Birth of the Dragon'?
527,What is the genre of the movie 'Elysium'?
527,"Can you recommend a movie similar to 'Elysium' in the Action,Drama,Sci-Fi genre?"
527,What other movies did Neill Blomkamp direct besides 'Elysium'?
528,What is the genre of the movie 'The Green Inferno'?
528,"Can you recommend a movie similar to 'The Green Inferno' in the Adventure,Horror genre?"
528,In which other movies did Aaron Burns star besides 'The Green Inferno'?
529,What is the genre of the movie 'Godzilla'?
529,"Can you recommend a movie similar to 'Godzilla' in the Action,Adventure,Sci-Fi genre?"
529,What other movies did Gareth Edwards direct besides 'Godzilla'?
530,What is the genre of the movie 'The Bourne Legacy'?
530,"Can you recommend a movie similar to 'The Bourne Legacy' in the Action,Adventure,Mystery genre?"
530,What other movies did Tony Gilroy direct besides 'The Bourne Legacy'?
531,What is the genre of the movie 'A Good Year'?
531,"Can you recommend a movie similar to 'A Good Year' in the Comedy,Drama,Romance genre?"
531,What other movies did Ridley Scott direct besides 'A Good Year'?
532,What is the genre of the movie 'Friend Request'?
532,"Can you recommend a movie similar to 'Friend Request' in the Horror,Thriller genre?"
532,What other movies did Simon Verhoeven direct besides 'Friend Request'?
533,What is the genre of the movie 'Deja Vu'?
533,"Can you recommend a movie similar to 'Deja Vu' in the Action,Sci-Fi,Thriller genre?"
533,What other movies did Tony Scott direct besides 'Deja Vu'?
534,What is the genre of the movie 'Lucy'?
534,"Can you recommend a movie similar to 'Lucy' in the Action,Sci-Fi,Thriller genre?"
534,In which other movies did Morgan Freeman star besides 'Lucy'?
535,What is the genre of the movie 'A Quiet Passion'?
535,"Can you recommend a movie similar to 'A Quiet Passion' in the Biography,Drama genre?"
535,What other movies did Terence Davies direct besides 'A Quiet Passion'?
536,What is the genre of the movie 'Need for Speed'?
536,"Can you recommend a movie similar to 'Need for Speed' in the Action,Crime,Drama genre?"
536,In which other movies did Dominic Cooper star besides 'Need for Speed'?
537,What is the genre of the movie 'Jack Reacher'?
537,"Can you recommend a movie similar to 'Jack Reacher' in the Action,Crime,Mystery genre?"
537,In which other movies did Richard Jenkins star besides 'Jack Reacher'?
538,What is the genre of the movie 'The Do-Over'?
538,"Can you recommend a movie similar to 'The Do-Over' in the Action,Adventure,Comedy genre?"
538,In which other movies did David Spade star besides 'The Do-Over'?
539,What is the genre of the movie 'True Crimes'?
539,"Can you recommend a movie similar to 'True Crimes' in the Crime,Drama,Thriller genre?"
539,In which other movies did Charlotte Gainsbourg star besides 'True Crimes'?
540,What is the genre of the movie 'American Pastoral'?
540,"Can you recommend a movie similar to 'American Pastoral' in the Crime,Drama genre?"
540,What other movies did Ewan McGregor direct besides 'American Pastoral'?
541,What is the genre of the movie 'The Ghost Writer'?
541,"Can you recommend a movie similar to 'The Ghost Writer' in the Mystery,Thriller genre?"
541,What other movies did Roman Polanski direct besides 'The Ghost Writer'?
542,What is the genre of the movie 'Limitless'?
542,"Can you recommend a movie similar to 'Limitless' in the Mystery,Sci-Fi,Thriller genre?"
542,What other movies did Neil Burger direct besides 'Limitless'?
543,What is the genre of the movie 'Spectral'?
543,"Can you recommend a movie similar to 'Spectral' in the Action,Mystery,Sci-Fi genre?"
543,In which other movies did Max Martini star besides 'Spectral'?
544,What is the genre of the movie 'P.S. I Love You'?
544,"Can you recommend a movie similar to 'P.S. I Love You' in the Drama,Romance genre?"
544,What other movies did Richard LaGravenese direct besides 'P.S. I Love You'?
545,What is the genre of the movie 'Zipper'?
545,"Can you recommend a movie similar to 'Zipper' in the Drama,Thriller genre?"
545,What other movies did Mora Stephens direct besides 'Zipper'?
546,What is the genre of the movie 'Midnight Special'?
546,"Can you recommend a movie similar to 'Midnight Special' in the Drama,Mystery,Sci-Fi genre?"
546,In which other movies did Kirsten Dunst star besides 'Midnight Special'?
547,What is the genre of the movie 'Don't Think Twice'?
547,"Can you recommend a movie similar to 'Don't Think Twice' in the Comedy,Drama genre?"
547,What other movies did Mike Birbiglia direct besides 'Don't Think Twice'?
548,What is the genre of the movie 'Alice in Wonderland'?
548,"Can you recommend a movie similar to 'Alice in Wonderland' in the Adventure,Family,Fantasy genre?"
548,What other movies did Tim Burton direct besides 'Alice in Wonderland'?
549,What is the genre of the movie 'Chuck'?
549,"Can you recommend a movie similar to 'Chuck' in the Biography,Drama,Sport genre?"
549,What other movies did Philippe Falardeau direct besides 'Chuck'?
550,"What is the genre of the movie 'I, Daniel Blake'?"
550,"Can you recommend a movie similar to 'I, Daniel Blake' in the Drama genre?"
550,"In which other movies did Sharon Percy star besides 'I, Daniel Blake'?"
551,What is the genre of the movie 'The Break-Up'?
551,"Can you recommend a movie similar to 'The Break-Up' in the Comedy,Drama,Romance genre?"
551,What other movies did Peyton Reed direct besides 'The Break-Up'?
552,What is the genre of the movie 'Loving'?
552,"Can you recommend a movie similar to 'Loving' in the Biography,Drama,Romance genre?"
552,What other movies did Jeff Nichols direct besides 'Loving'?
553,What is the genre of the movie 'Fantastic Four'?
553,"Can you recommend a movie similar to 'Fantastic Four' in the Action,Adventure,Sci-Fi genre?"
553,In which other movies did Jamie Bell star besides 'Fantastic Four'?
554,What is the genre of the movie 'The Survivalist'?
554,"Can you recommend a movie similar to 'The Survivalist' in the Drama,Sci-Fi,Thriller genre?"
554,What other movies did Stephen Fingleton direct besides 'The Survivalist'?
555,What is the genre of the movie 'Colonia'?
555,"Can you recommend a movie similar to 'Colonia' in the Drama,Romance,Thriller genre?"
555,What other movies did Florian Gallenberger direct besides 'Colonia'?
556,What is the genre of the movie 'The Boy Next Door'?
556,"Can you recommend a movie similar to 'The Boy Next Door' in the Mystery,Thriller genre?"
556,In which other movies did John Corbett star besides 'The Boy Next Door'?
557,What is the genre of the movie 'The Gift'?
557,"Can you recommend a movie similar to 'The Gift' in the Mystery,Thriller genre?"
557,In which other movies did Joel Edgerton star besides 'The Gift'?
558,What is the genre of the movie 'Dracula Untold'?
558,"Can you recommend a movie similar to 'Dracula Untold' in the Action,Drama,Fantasy genre?"
558,What other movies did Gary Shore direct besides 'Dracula Untold'?
559,What is the genre of the movie 'In the Heart of the Sea'?
559,"Can you recommend a movie similar to 'In the Heart of the Sea' in the Action,Adventure,Biography genre?"
559,What other movies did Ron Howard direct besides 'In the Heart of the Sea'?
560,What is the genre of the movie 'Idiocracy'?
560,"Can you recommend a movie similar to 'Idiocracy' in the Adventure,Comedy,Sci-Fi genre?"
560,What other movies did Mike Judge direct besides 'Idiocracy'?
561,What is the genre of the movie 'The Expendables'?
561,"Can you recommend a movie similar to 'The Expendables' in the Action,Adventure,Thriller genre?"
561,What other movies did Sylvester Stallone direct besides 'The Expendables'?
562,What is the genre of the movie 'Evil Dead'?
562,"Can you recommend a movie similar to 'Evil Dead' in the Fantasy,Horror genre?"
562,In which other movies did Lou Taylor Pucci star besides 'Evil Dead'?
563,What is the genre of the movie 'Sinister'?
563,"Can you recommend a movie similar to 'Sinister' in the Horror,Mystery genre?"
563,In which other movies did Fred Dalton Thompson star besides 'Sinister'?
564,What is the genre of the movie 'Wreck-It Ralph'?
564,"Can you recommend a movie similar to 'Wreck-It Ralph' in the Animation,Adventure,Comedy genre?"
564,What other movies did Rich Moore direct besides 'Wreck-It Ralph'?
565,What is the genre of the movie 'Snow White and the Huntsman'?
565,"Can you recommend a movie similar to 'Snow White and the Huntsman' in the Action,Adventure,Drama genre?"
565,What other movies did Rupert Sanders direct besides 'Snow White and the Huntsman'?
566,What is the genre of the movie 'Pan'?
566,"Can you recommend a movie similar to 'Pan' in the Adventure,Family,Fantasy genre?"
566,In which other movies did Levi Miller star besides 'Pan'?
567,What is the genre of the movie 'Transformers: Dark of the Moon'?
567,"Can you recommend a movie similar to 'Transformers: Dark of the Moon' in the Action,Adventure,Sci-Fi genre?"
567,What other movies did Michael Bay direct besides 'Transformers: Dark of the Moon'?
568,What is the genre of the movie 'Juno'?
568,"Can you recommend a movie similar to 'Juno' in the Comedy,Drama genre?"
568,What other movies did Jason Reitman direct besides 'Juno'?
569,What is the genre of the movie 'A Hologram for the King'?
569,"Can you recommend a movie similar to 'A Hologram for the King' in the Comedy,Drama genre?"
569,What other movies did Tom Tykwer direct besides 'A Hologram for the King'?
570,What is the genre of the movie 'Money Monster'?
570,"Can you recommend a movie similar to 'Money Monster' in the Crime,Drama,Thriller genre?"
570,In which other movies did Jack O'Connell star besides 'Money Monster'?
571,What is the genre of the movie 'The Other Woman'?
571,"Can you recommend a movie similar to 'The Other Woman' in the Comedy,Romance genre?"
571,What other movies did Nick Cassavetes direct besides 'The Other Woman'?
572,What is the genre of the movie 'Enchanted'?
572,"Can you recommend a movie similar to 'Enchanted' in the Animation,Comedy,Family genre?"
572,In which other movies did Patrick Dempsey star besides 'Enchanted'?
573,What is the genre of the movie 'The Intern'?
573,"Can you recommend a movie similar to 'The Intern' in the Comedy,Drama genre?"
573,In which other movies did Rene Russo star besides 'The Intern'?
574,What is the genre of the movie 'Little Miss Sunshine'?
574,"Can you recommend a movie similar to 'Little Miss Sunshine' in the Comedy,Drama genre?"
574,What other movies did Jonathan Dayton direct besides 'Little Miss Sunshine'?
575,What is the genre of the movie 'Bleed for This'?
575,"Can you recommend a movie similar to 'Bleed for This' in the Biography,Drama,Sport genre?"
575,What other movies did Ben Younger direct besides 'Bleed for This'?
576,What is the genre of the movie 'Clash of the Titans'?
576,"Can you recommend a movie similar to 'Clash of the Titans' in the Action,Adventure,Fantasy genre?"
576,In which other movies did Sam Worthington star besides 'Clash of the Titans'?
577,What is the genre of the movie 'The Finest Hours'?
577,"Can you recommend a movie similar to 'The Finest Hours' in the Action,Drama,History genre?"
577,What other movies did Craig Gillespie direct besides 'The Finest Hours'?
578,What is the genre of the movie 'Tron'?
578,"Can you recommend a movie similar to 'Tron' in the Action,Adventure,Sci-Fi genre?"
578,What other movies did Joseph Kosinski direct besides 'Tron'?
579,What is the genre of the movie 'The Hunger Games: Catching Fire'?
579,"Can you recommend a movie similar to 'The Hunger Games: Catching Fire' in the Action,Adventure,Mystery genre?"
579,What other movies did Francis Lawrence direct besides 'The Hunger Games: Catching Fire'?
580,What is the genre of the movie 'All Good Things'?
580,"Can you recommend a movie similar to 'All Good Things' in the Crime,Drama,Mystery genre?"
580,In which other movies did Ryan Gosling star besides 'All Good Things'?
581,What is the genre of the movie 'Kickboxer: Vengeance'?
581,Can you recommend a movie similar to 'Kickboxer: Vengeance' in the Action genre?
581,What other movies did John Stockwell direct besides 'Kickboxer: Vengeance'?
582,What is the genre of the movie 'The Last Airbender'?
582,"Can you recommend a movie similar to 'The Last Airbender' in the Action,Adventure,Family genre?"
582,In which other movies did Dev Patel star besides 'The Last Airbender'?
583,What is the genre of the movie 'Sex Tape'?
583,"Can you recommend a movie similar to 'Sex Tape' in the Comedy,Romance genre?"
583,What other movies did Jake Kasdan direct besides 'Sex Tape'?
584,What is the genre of the movie 'What to Expect When You're Expecting'?
584,"Can you recommend a movie similar to 'What to Expect When You're Expecting' in the Comedy,Drama,Romance genre?"
584,What other movies did Kirk Jones direct besides 'What to Expect When You're Expecting'?
585,What is the genre of the movie 'Moneyball'?
585,"Can you recommend a movie similar to 'Moneyball' in the Biography,Drama,Sport genre?"
585,In which other movies did Jonah Hill star besides 'Moneyball'?
586,What is the genre of the movie 'Ghost Rider'?
586,"Can you recommend a movie similar to 'Ghost Rider' in the Action,Fantasy,Thriller genre?"
586,What other movies did Mark Steven Johnson direct besides 'Ghost Rider'?
587,What is the genre of the movie 'Unbroken'?
587,"Can you recommend a movie similar to 'Unbroken' in the Biography,Drama,Sport genre?"
587,In which other movies did Jack O'Connell star besides 'Unbroken'?
588,What is the genre of the movie 'Immortals'?
588,"Can you recommend a movie similar to 'Immortals' in the Action,Drama,Fantasy genre?"
588,In which other movies did Henry Cavill star besides 'Immortals'?
589,What is the genre of the movie 'Sunshine'?
589,"Can you recommend a movie similar to 'Sunshine' in the Adventure,Sci-Fi,Thriller genre?"
589,What other movies did Danny Boyle direct besides 'Sunshine'?
590,What is the genre of the movie 'Brave'?
590,"Can you recommend a movie similar to 'Brave' in the Animation,Adventure,Comedy genre?"
590,In which other movies did Kelly Macdonald star besides 'Brave'?
591,What is the genre of the movie 'Män som hatar kvinnor'?
591,"Can you recommend a movie similar to 'Män som hatar kvinnor' in the Drama,Mystery,Thriller genre?"
591,In which other movies did Lena Endre star besides 'Män som hatar kvinnor'?
592,What is the genre of the movie 'Adoration'?
592,"Can you recommend a movie similar to 'Adoration' in the Drama,Romance genre?"
592,What other movies did Anne Fontaine direct besides 'Adoration'?
593,What is the genre of the movie 'The Drop'?
593,"Can you recommend a movie similar to 'The Drop' in the Crime,Drama,Mystery genre?"
593,In which other movies did Matthias Schoenaerts star besides 'The Drop'?
594,What is the genre of the movie 'She's the Man'?
594,"Can you recommend a movie similar to 'She's the Man' in the Comedy,Romance,Sport genre?"
594,In which other movies did Laura Ramsey star besides 'She's the Man'?
595,What is the genre of the movie 'Daddy's Home'?
595,"Can you recommend a movie similar to 'Daddy's Home' in the Comedy,Family genre?"
595,In which other movies did Will Ferrell star besides 'Daddy's Home'?
596,What is the genre of the movie 'Let Me In'?
596,"Can you recommend a movie similar to 'Let Me In' in the Drama,Horror,Mystery genre?"
596,In which other movies did Cara Buono star besides 'Let Me In'?
597,What is the genre of the movie 'Never Back Down'?
597,"Can you recommend a movie similar to 'Never Back Down' in the Action,Drama,Sport genre?"
597,What other movies did Jeff Wadlow direct besides 'Never Back Down'?
598,What is the genre of the movie 'Grimsby'?
598,"Can you recommend a movie similar to 'Grimsby' in the Action,Adventure,Comedy genre?"
598,What other movies did Louis Leterrier direct besides 'Grimsby'?
599,What is the genre of the movie 'Moon'?
599,"Can you recommend a movie similar to 'Moon' in the Drama,Mystery,Sci-Fi genre?"
599,In which other movies did Rosie Shaw star besides 'Moon'?
600,What is the genre of the movie 'Megamind'?
600,"Can you recommend a movie similar to 'Megamind' in the Animation,Action,Comedy genre?"
600,In which other movies did Will Ferrell star besides 'Megamind'?
601,What is the genre of the movie 'Gangster Squad'?
601,"Can you recommend a movie similar to 'Gangster Squad' in the Action,Crime,Drama genre?"
601,In which other movies did Sean Penn star besides 'Gangster Squad'?
602,What is the genre of the movie 'Blood Father'?
602,"Can you recommend a movie similar to 'Blood Father' in the Action,Crime,Drama genre?"
602,In which other movies did Diego Luna star besides 'Blood Father'?
603,What is the genre of the movie 'He's Just Not That Into You'?
603,"Can you recommend a movie similar to 'He's Just Not That Into You' in the Comedy,Drama,Romance genre?"
603,In which other movies did Morgan Lily star besides 'He's Just Not That Into You'?
604,What is the genre of the movie 'Kung Fu Panda 3'?
604,"Can you recommend a movie similar to 'Kung Fu Panda 3' in the Animation,Action,Adventure genre?"
604,What other movies did Alessandro Carloni direct besides 'Kung Fu Panda 3'?
605,What is the genre of the movie 'The Rise of the Krays'?
605,"Can you recommend a movie similar to 'The Rise of the Krays' in the Crime,Drama genre?"
605,What other movies did Zackary Adler direct besides 'The Rise of the Krays'?
606,What is the genre of the movie 'Handsome Devil'?
606,Can you recommend a movie similar to 'Handsome Devil' in the Drama genre?
606,In which other movies did Fionn O'Shea star besides 'Handsome Devil'?
607,What is the genre of the movie 'Winter's Bone'?
607,Can you recommend a movie similar to 'Winter's Bone' in the Drama genre?
607,In which other movies did Garret Dillahunt star besides 'Winter's Bone'?
608,What is the genre of the movie 'Horrible Bosses'?
608,"Can you recommend a movie similar to 'Horrible Bosses' in the Comedy,Crime genre?"
608,In which other movies did Charlie Day star besides 'Horrible Bosses'?
609,What is the genre of the movie 'Mommy'?
609,Can you recommend a movie similar to 'Mommy' in the Drama genre?
609,In which other movies did Anne Dorval star besides 'Mommy'?
610,What is the genre of the movie 'Hellboy II: The Golden Army'?
610,"Can you recommend a movie similar to 'Hellboy II: The Golden Army' in the Action,Adventure,Fantasy genre?"
610,In which other movies did Ron Perlman star besides 'Hellboy II: The Golden Army'?
611,What is the genre of the movie 'Beautiful Creatures'?
611,"Can you recommend a movie similar to 'Beautiful Creatures' in the Drama,Fantasy,Romance genre?"
611,In which other movies did Alden Ehrenreich star besides 'Beautiful Creatures'?
612,What is the genre of the movie 'Toni Erdmann'?
612,"Can you recommend a movie similar to 'Toni Erdmann' in the Comedy,Drama genre?"
612,What other movies did Maren Ade direct besides 'Toni Erdmann'?
613,What is the genre of the movie 'The Lovely Bones'?
613,"Can you recommend a movie similar to 'The Lovely Bones' in the Drama,Fantasy,Thriller genre?"
